,category
Subject Matter Expert (Computer Science),1
General Management (Chief Of Staff To CEO),1
SME (Text Based Solutions) (Banking),1
Online Bidding &amp; Lead Generation,1
Video Editing &amp; Content Creation,1
Strategy And Planning,1
English Voice Over,1
3D Printing Design,1
Dietetics/Nutrition - Content,1
Operations Specialization,1
PHP Laravel App Development,1
Journalism (Technology News),1
Key Account Management,1
Event And PR,1
Sales And Influencer Relations Management,1
Java/Spring Boot/REST API Development,1
Graphic Design - 2D,1
Direct Response Copywriting,1
Teaching (R-Programming),1
Data Science (Lead Generation),1
Game Design,1
Angular 2+ Development,1
Marketing &amp; Branding,1
Business Analyst,1
Community Moderating,1
Customer Success And Data,1
Image And Video Editing,1
3D Character Making,1
Growth Hacking (Marketing),1
Equity Research Analysis And Equity Trading,1
Application Support Engineering (IoT),1
Communication And Branding,1
WIX Development,1
Full-stack Software Development (Java/Spring Boot/Hibernate/JavaScript/ReactJS),1
E-Commerce Product Listing,1
Django And React Development,1
Product Presentation (Not Sales),1
Content Writing (eSports),1
German Language Training,1
Voice-Over,1
NGO Coordination,1
Commodity Trading,1
Photography And Videography,1
Ecommerce Listing/Backend Management,1
Football Coaching,1
Media Buying,1
Product/Catalog Management,1
Content Creation/Hosting,1
Content Strategist (FinTech),1
Soil Science &amp; Agriculture Chemistry,1
Computer Hardware Engineer,1
SME - Video Solutions (Chemistry - Hindi Medium),1
Human Resources &amp; Operations,1
Electromagnetic Engineering,1
Product Development (Mechanical),1
LinkedIn Sales &amp; Marketing,1
Static Page Creation,1
Junior Art Direction,1
Graphic Design (Fashion),1
Sales Analysis,1
Outreach Assistance (iMessage),1
Business Operations (Platform Management),1
Voiceover Creation,1
Digital Marketing Execution,1
License Renewal Support,1
Digital Marketing And Sales,1
3D Illustration,1
Cloud Engineering,1
Guest Posting,1
Web/Graphic Design,1
Calligraphy,1
Chartered Accountancy (CA) &amp; Taxation,1
Digital Marketing (Social Media Management),1
SEO (Backlink),1
Digital Marketing (Client Servicing),1
Marketing (B2B),1
Office Admin,1
Marine Engineering,1
Business Development (For Women Only),1
Network &amp; System Administration,1
Live News Anchoring (Hindi),1
Computer Operations,1
Publishing,1
Nursing,1
Digital Art/Storyboard Art,1
Sales Growth,1
Career Development (CDE/CDO),1
Public Relations And Marketing,1
Tele Sales,1
Video Editing (Educational Content),1
React Native Mentoring,1
Business Analytics (Startup Businesses for VC Company),1
Applications/Software Development,1
Content Presentation,1
HR- Recruiting,1
CAD Exterior Design Engineering -Quality Assurance /Production,1
Food Technology,1
Financial Life Advisory,1
SME Video Solutions (Physics - Hindi Medium),1
Book Design,1
Finance Transformation (CA),1
MBA Tutoring,1
Actuarial - Life Insurance,1
Medicine,1
Rural Consulting,1
Marketplace,1
Social Media Marketing &amp; Graphic Design,1
SAP BI &amp; Analytics,1
Assessment Content Writing,1
SME Video Solutions Physics (English),1
Industrial Design &amp; Manufacturing 3D Prototyping,1
Law,1
Content Research - Banking And Fintech,1
Front End Development (VueJS),1
GIS Engineering,1
Legal Data Management,1
Progressive Web Apps (PWA) Development,1
Business Management/Product Management,1
Operations &amp; Finance,1
Field Sales &amp; Marketing - Financial Services,1
Social Media Analysis,1
Client Servicing &amp; Acquisition,1
Teaching (Inclusive Education),1
Pitch Deck Creation On Figma,1
Actuarial Science,1
2D AutoCAD Design,1
Content Writing &amp; SEO,1
Project Sales,1
German Training,1
Video Curation - Technology/Fashion/Video Creation,1
React Native App Development,1
Fashion Merchandising (Sales),1
Node.js (Backend Development),1
Telemarketing,1
Selenium Development,1
Electrical &amp; Electronics Engineering,1
React Native Devlopment,1
Doodle Creation,1
Service Delivery Operations,1
WordPress Article Editing,1
IOT Engineering (Healthcare),1
Telecalling (Gujararti),1
Candidate Success,1
Teaching (Python),1
Event/Permission Coordinator,1
Sales Promotions,1
Market/Business Research,1
Content Executive,1
3D Rendering,1
Business Accounts Intern,1
Content Writing (CAT Exam),1
Pedagogy Research,1
Digital Portrait Art,1
Jewelry Designing,1
Content Writing (Web3 Project),1
Marketing &amp; Activations,1
Content Curation And PowerPoint Slide Creation,1
Tellecalling,1
Web And App Development,1
Photography &amp; Videography (Home Interiors),1
Sales &amp; Marketing Analytics,1
Teaching on Youtube (Math Physics English),1
Tele Collection,1
Front Office Operations,1
Education Loan Counseling,1
International Customer Acquisition,1
Social Media Optimization,1
Creative Design &amp; Video Editing,1
CAD Production Exterior Design,1
Internal Product Management (ERP),1
Admission Advising,1
Subject Matter Expert - Chemical Engineering,1
Instrumentation and Control Engineering,1
Business Development Research,1
E-Learning Content Creation,1
Analysis,1
Project Trainee â Expert Advocacy,1
Online Sales,1
Behavioral Data Science,1
Makeup Artist,1
Web Development &amp; Design,1
MBA Sales,1
Digital Marketing Project Management,1
Anchoring  And Handling Channel,1
Mechatronics Engineering,1
Google AdWords And PPC,1
Service Engineering,1
Strategy (Founders Office),1
Graphic Design Trainee,1
Data Annotation/Labelling (Computer Vision-Image Data),1
Academic Writing (Dissertation),1
Paralegal Operations,1
Business Management,1
React JS Developer (Intern),1
Scheduling Presentations,1
Relationship Manager (Management),1
Content Publishing,1
Content Writing (TV Shows),1
Content &amp; Media,1
Field Survey,1
Network Administration And Hardware Admin,1
Campus Operations,1
Electronics Project Teaching,1
Quantity Survey,1
Compensation Benchmarking Evaluation,1
Social Media Management And Editorial,1
Robotics,1
Architectural Drafting,1
Early Childhood Care &amp; Education,1
Meshing,1
Teaching (Spanish),1
Apparel Designing,1
Video Editing (Celebrity Platform - Mumbai - Chembur),1
Data Science Research,1
Motion Graphic Designing,1
Business Coordination,1
Account Receivables Consultancy,1
Host Onboarding,1
Sales Management - (PVC Pipe),1
Academic Content Development,1
Business Analytics (MIS),1
Partnership &amp; Alliances With Co-working Spaces,1
Fashion Sales &amp; Management,1
Front End Development (ReactJS),1
Korean Restaurant Marketing,1
App Development Using React Native &amp; JS,1
WordPress Website Development Based on Theme,1
Software Development For Embedded Systems,1
Equity Trader And Research Analysis,1
Accounts &amp; Bookings,1
Animation &amp; Graphic Design,1
Graphic Design &amp; Creative Art,1
Engineering (Chemical/Biotechnology/Microbiology),1
Cinema 4D Design,1
Software Implementation,1
Bollywood/Regional Dance,1
Teaching (Arduino),1
Back Office Management (Females Only),1
Sales and Business Development,1
Graphics &amp; Video Development,1
SME (Text Based Solutions) (Railways),1
Fashion Management/Buying &amp; Merchandising,1
Podcast Creation,1
Sports Apparel Merchandising,1
Video Editing (Viral Videos),1
Operational Risk Management (ORM),1
Virtual Volunteering,1
Visual Design/Illustration (Fine Arts),1
Children Theatre,1
Social Media Analytics,1
Digital Marketing Training Teaching Assistance (Virtual),1
Anchoring/Acting/Content Creation,1
Power Electronics,1
Social Media And Operations,1
HR &amp; Placement Coordination,1
Founder's Office - Strategy,1
Anchoring &amp; Video Editing,1
Social Media Marketing/Sales,1
Operations - Data Management,1
Digital Marketing- Partnership,1
Tour Coordination,1
Videography &amp; Editing (YouTube),1
Flutter Mobile Application Development,1
Counselling &amp; Telecalling,1
Ad Copwriting,1
Robotics &amp; STEM Education,1
Home Consultancy,1
Social Media Marketing And Video Editing,1
Graphic &amp; UI Design,1
Video Solution Expert (PCMB),1
Marketing &amp; Product Upload In E-Commerce,1
Marketing &amp; Communications,1
SCM (Automation),1
AI Tool Tweaking,1
Security Analytics,1
Content Writing (Entertainment News),1
Social Media Corresponding,1
Electronics Research And Development,1
Hindi Content Writing (Mathematics),1
Business Development (Research),1
Growth Product Management,1
Field Application Engineering,1
Teaching (Programming: Java),1
Research (Analytics),1
Assistant Architecture,1
Graphic Design &amp; Marketing,1
ONDC API Integration,1
Academic Writing (English &amp; Mass Communications),1
Human Resources (HR)- Induction,1
Business Development/Analysis,1
ERP Project Support,1
Crowd Funding,1
Subject Matter Expert (Accounts),1
3D Mechanical Design,1
ESG &amp; Sustainability Research,1
Presales,1
CAD Textile Design,1
Email &amp; LinkedIn Marketing,1
Content Writing (For Ecommerce Product),1
Multimedia Art,1
Marketing &amp; Sales Executive,1
Finance and Marketing,1
Digital Organic Marketing,1
Design Engineering,1
Subject Matter Expert (Physics),1
Content Development (Coding),1
Teaching (Economics),1
News Anchoring,1
CRM,1
Subject Matter Expert (SME) - Economics &amp; Accounts,1
Front End Development &amp; UX/UI Consulting,1
Admin And Operations,1
Public Relations,1
Logistics Coordination,1
Events &amp; Hospitality,1
YouTube SEO,1
Teaching (Bengali),1
Human Resources (Employee Engagement),1
"Marketing, Content &amp; E-Commerce Management",1
Database Engineering,1
E-commerce Catalogue,1
Process Coordination,1
On-Field Market Research &amp; Execution,1
Teaching (English Creative Writing),1
Book Editing,1
Project Trainee - HR,1
Litigation,1
Apparel Merchandising,1
Content Updation,1
Skill Development Awareness,1
Cloud Cost Analyst,1
Writing,1
Software Development (Java &amp; React),1
Counseling &amp; Teaching Support,1
Human Resources (Payroll),1
Artificial Intelligence (AI/ML),1
Analog Design,1
UI/UX And Graphic Design,1
UI Development,1
Real Time Doubt Solving/Subject Matter Expert (Organic Chemistry),1
Quality Testing,1
Print Journalism,1
Agriculture &amp; Food Engineering,1
Content Creation &amp; Strategy Management,1
Social Media Marketing &amp; Video Editing,1
Business Process Mapping,1
District Development,1
Technical Support &amp; Monitoring,1
Deal Curation,1
Flutter Web/App Development,1
Investor Relations,1
Quality Analysis (Calls &amp; Email Auditing),1
Receptionist (Training Center),1
Mechanical Engineering &amp; Design,1
Sustainability Fellowship,1
Alt-text Writing,1
Project Management (Portal Testing),1
Artificial Intelligence (AI) &amp; Deep Learning,1
React/Next Front-End Development,1
Field &amp; Online Marketing,1
QA Software Testing,1
Hardware Engineering,1
US Accent Telecalling,1
Digital Marketing Creative Creation,1
Calibration Engineering,1
Slogan &amp; Taglines Writing (Creative Writing),1
Category Management,1
City Coordination,1
College Ambassador,1
Content Writing &amp; Digital Marketing,1
Branch Operations,1
Illustration And Graphic Design,1
Video Editing &amp; Photo Editing,1
Telecalling - User Analysis,1
Social Media Content Creating/Video Acting,1
E-commerce Operations &amp; Customer Service,1
Business Development And Research,1
Content Development (English) - Sustainability &amp; Climate Action,1
Biology,1
Strategy,1
Pharmacy,1
UX Design,1
Publication Editing,1
WordPress Website Design,1
Short Video Presentation,1
Instagram Reels Creation,1
Environmental Studies Faculty,1
Corporate Legal Management,1
Stock Market Operations &amp; Advisory,1
Accounts (Finance),1
Petrochemical Engineering,1
Software Business Analytics,1
ORM,1
Content Management (Technical),1
Training (IELTS),1
Webflow Web Development,1
Student Counseling,1
Clinic Assistance - Marketing,1
CEO's Office,1
Subject Matter Expert (Video Solutions Project),1
Back-End Software Development,1
Payment Coordination,1
Drone Pilot,1
Marketing (Art Curation),1
Information Security,1
Blockchain Research Analytics,1
Automation Testing,1
Subject Matter Expert (Project Management),1
Accounts (Audit),1
Non-profit Partnerships,1
Telesales Representation,1
On-Site Volunteering,1
Subject Matter Expert - Pen-tab Video Solutions,1
Python/Microcontroller/Gaming Development,1
Graphic Design &amp; Animation,1
SEO And WordPress,1
B2B Partnerships Development,1
Community Management (Discord/FB),1
Data Verification,1
Market Research and Brand Awareness,1
Resume Writing,1
3D Design,1
Digital Marketing &amp; Communication (Space Tourism),1
Python Programming Teaching,1
Technical Training Content Development,1
Digital Marketing (Paid and Organic),1
Teaching (German),1
Marketing (BTL Activity),1
Product Research,1
Mime Art,1
Investment Strategy,1
Medical Procurement,1
Academic Assignments (Managerial/Accounting/Finance),1
Social Media And Graphic Content,1
Junior Academic Counselling,1
Assistant Management,1
Computer Vision And IoT - Web Application Development,1
Algo Trading Research,1
Community Moderation,1
Office Assistance (E-commerce),1
Content Coordination - Star Utsav,1
Research &amp; Business Development (Marathi Proficiency),1
Social Media Content Curation,1
Telecalling + Digital PR,1
UI/UX/Web Design,1
Backend Assistance,1
Media Planning,1
Telecalling (Kannada/Malayalam),1
Content And Social Media Management,1
SEO &amp; Website Management,1
Market Research Analysis,1
Innovation Scout,1
Content &amp; Program Building,1
Graphic Design (Brand Identity),1
Content Writing - Marketing Division,1
Motion Graphic Design (Video),1
Operations (e-Commerce),1
Business Development (Online Bidding),1
Vlogging/Presenting,1
Sales (Events),1
Automation,1
Business Process Management,1
Content Production,1
General Management &amp; Marketing,1
Talent Acquisition (Vendors Collaboration),1
Consulting Assistance,1
Alumni Experience,1
Customer Relationship,1
Question Solving (Video Projects - Pure Hindi),1
Startup Fellowship,1
Sales - Software Services,1
Customer Engagement,1
Civil Engineering &amp; Interior Design,1
Business Strategy Management,1
Robotic (Process Automation),1
SME-Video Solutions-Chemistry (English),1
E-Learning Content Writing &amp; Editing,1
Patent Assesment,1
Field Sales Representation,1
Finance Associate,1
Electrical/ Mechatronics Engineering,1
Digital Media &amp; Marketing,1
Hairdressing &amp; Beauty,1
Content Management â Combat Sports,1
Presentation Design (PPT),1
L&amp;D Internship,1
Unity + Firebase (Backend Development),1
Wordpress Blog Development,1
Charity Volunteering,1
Q&amp;A Restructuring (Computer Science),1
Administration &amp; Coordination,1
Fashion Jewelry Merchandising,1
Subject Matter Expert (Accounting),1
Technical Research,1
Software Development (Multi-Technology),1
3D Modelling &amp; Animation,1
Partner Development,1
Marketing &amp; Content Creation,1
UPSC Subject Matter Expert,1
Business Development - Growth &amp; University Relations,1
Transcription,1
Recruitment &amp; Talent,1
YouTube Shorts Creation,1
Data Science &amp; AI Content Writing,1
Networking And Security,1
Frontend Development (Angular),1
Q&amp;A Restructuring (Statistics &amp; Probability),1
Academic Content Expert for Mathematics (English),1
Content Writing (Technical),1
Community,1
Placement/Client Relationship Management,1
Digital Outreach &amp; Marketing,1
Event and Hospitality,1
User Interface Design,1
Simulation Engineering,1
Product Executive,1
TikTok Sales,1
"AWS, Scala &amp; Spark Development",1
Auditing &amp; Accounting,1
3D Character Art,1
Customer Relationship Operations,1
AI API Development,1
Chartered Accountancy (CA) Article,1
Videography &amp; Editing,1
Accounting &amp; Reporting,1
Operations &amp; Office Management,1
Question &amp; Answer Restructuring (Advanced Mathematics),1
Project Management/Operations Management,1
Video Editing &amp; Graphics Design,1
Digital Marketing (Team Leader),1
Frontend Engineering (Web3),1
Literature Research (Management),1
Digital Marketing/Email Marketing,1
Presentation Design,1
Abacus - Teaching,1
Italian Language Speaking,1
Assistance Direction,1
Sales Specialist,1
Founder's Office,1
Community Management (WhatsApp Group),1
Content Writing (Financial Sector),1
Campus Ambassador &amp; Recruitment Specialist,1
Embedded Systems Engineering,1
B2C Marketing,1
Telecalling (Marathi),1
Subject Matter Expert (Mathematics),1
Operations (Admin Executive Trainee),1
International Operations,1
Content Writing (Football),1
Python,1
Client Servicing (Operations),1
Canteen Management,1
Data Research &amp; Marketing,1
Electronics Hardware Engineering,1
Market Field Survey,1
Events &amp; News Reporting,1
CRM  - Marketing,1
Website &amp; Social Media (Content Creation &amp; Management),1
SMS Marketing,1
Executive Assistance (MBA),1
Purchase Management,1
Enterprise Sales,1
Python ML Development,1
Content Writing &amp; Video Editing,1
Social Media Post Design,1
CAD Design Engineering,1
Data Entry and Grocery Matching,1
Event Organizing (Art Gallery),1
Site Supervision,1
VBA/Lisp/Graphics Design,1
Subject Matter Expert (Commerce &amp; Economics),1
Project Management &amp; Research,1
Social Media Marketing &amp; BD,1
Research - Consulting Services,1
Technical Customer Support,1
Mechanical Design &amp; Prototyping,1
Web Development (Golang),1
Fashion Merchandising,1
Currency Trading,1
MATLAB &amp; VLSI Development,1
Hindi Content Writing,1
YouTube Shorts/Reel Creation,1
Project Execution Management,1
Finance (Operations),1
Medical Operations,1
JavaScript Development (React),1
IT Customer Service/IT Technical Service,1
News/Content Writing,1
Reel creation (Instagram),1
Telecalling (Female),1
Data Entry/Computer Operations,1
Publishing Management,1
Web3 Social Media Community Management,1
Subject Matter Expert for Chemistry,1
Guest Relations,1
Course Content Development,1
API Development,1
Communications,1
Inside Sales Internship,1
Video Presenting &amp; Anchoring (Reels/Shorts Making),1
Email &amp; Chat Process,1
Digital Branding &amp; Marketing,1
Retail Sales Executive (Electronics),1
Telecalling &amp; General Management,1
Product Management Strategy Web3,1
Business Development (Product Development),1
Client Relationship Management,1
Digital Marketing Management And Growth Hacking,1
Python Development (Backend),1
Motion Graphics Designing,1
Executive Assistant,1
Animated/Graphics Video Creation,1
Content Writing/Digital Marketing,1
ORM (Customer Relations),1
Remote Surveillance,1
Social Media/Influencer Marketing,1
Content Creation (Reels),1
Flutter Dart Cross Platform App Development,1
Marketing &amp; Research,1
Content Development (Biology),1
Information Technology (ManualTesting),1
Product Design (Web Apps),1
UAV Systems Engineering,1
Personal Assistant,1
Tech Content Writing (Blogs) On SEO Tools,1
Corporate Social Responsibility,1
Typing &amp; DTP,1
AdWords Operations,1
Public Relations (PR) &amp; Marketing,1
Founder's Assistance - BITS/IIT/IIM/NIT,1
Website Management,1
Sales (Telecalling),1
Database Management,1
Market Research &amp; Content Development (Quiz),1
Content Writing and Research,1
Wastage Control,1
Video Editing Cum Back Office Assistance,1
Marketing (Healthcare and Medical),1
Data Research Analysis,1
Media,1
Subject Matter Expert (Supply Chain Management),1
Project Coordination &amp; Documentation,1
Video Creating/Editing,1
Multiple E-commerce Platform Listing,1
Hotel Management (Bakery &amp; Pastry Chef),1
Content Writing (Social Studies),1
Technical Marketing and Sales,1
Culinary Arts (Chef),1
Manufacturing Engineering,1
Outreach Team Leading,1
Trainee Engineering- Computer Vision,1
Aircraft Design &amp; Field Testing,1
Digital Marketing (Content Writing),1
Web Development &amp; Cloud Security,1
Infographics Creation,1
Web Design (Apps And Websites),1
WordPress Site Management,1
Report Writing,1
Sales Engineering,1
Front Desk/HR,1
Content Writing (WWE),1
Electronics &amp; Hardware Engineering,1
Posts Design (Social Media),1
Sales &amp; Business Development,1
Videography (Making &amp; Editing Product Videos/Reels),1
Electrochemistry Research,1
Java Development Teaching,1
Content Writing (News Website),1
Field Service Engineering &amp; Operations,1
Product Designer,1
Commerce Tutoring,1
Neet UG Physics/Chemistry Content Curation,1
Feild Promotion,1
Digital Art,1
Psychology &amp; Counseling,1
Customer Success &amp; Business Analysis,1
Telecalling (Tamil),1
Social Media Assistant (Reels &amp; Edits),1
Big Data,1
Meesho Marketplace,1
Content Writing (NBA),1
Undergraduate Summer Research Fellowship,1
Laravel Developement,1
Telecalling (Telugu),1
Personal Secretary,1
Jewellery Design,1
Business-To-Business/B2B,1
Agriculture,1
Travel &amp; Tourism Operations,1
Fixed Asset Verification,1
UI Designing/Wireframe,1
Video Making (Anchoring),1
Consulting,1
React Native iOS Development,1
MATLAB Simulink,1
"SAP ABAP, BASIS, UI/Fiori &amp; SD",1
Social/Performance Media Marketing,1
Voice Over,1
Fine Art,1
WordPress Web Development,1
