category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Social Work (C.U.R.E. India Campaign),INDIA Redefined,"Work From Home,",Immediately,2 Months,Unpaid,28 Jan' 23,0.0,,"Certificate,",1000.0,https://internshala.com/internship/detail/social-work-cure-india-campaign-work-from-home-job-internship-at-india-redefined1673669487
Law/Legal,WinSavvy,"Work From Home,",Immediately,1 Month,Unpaid,28 Jan' 23,37.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,MS-PowerPoint,MS-Word,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5.0,https://internshala.com/internship/detail/law-legal-work-from-home-job-internship-at-winsavvy1673617937
Event Management,Indian Social Responsibility Network,"Delhi,",Immediately,6 Months,Unpaid,28 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",5.0,https://internshala.com/internship/detail/event-management-internship-in-delhi-at-indian-social-responsibility-network1673690167
Digital Marketing,Kondammal Trust,"Work From Home,",Immediately,2 Months,Unpaid,28 Jan' 23,0.0,"Digital Marketing,English Proficiency (Spoken),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5.0,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-kondammal-trust1673615676
Law Research,Filternet Foundation,"Varanasi,",Immediately,3 Months,Unpaid,28 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2.0,https://internshala.com/internship/detail/law-research-part-time-job-internship-at-varanasi-in-filternet-foundation1673594453
Content Writing,Adihri Dreamland Foundation,"Work From Home,",Immediately,1 Month,Unpaid,27 Jan' 23,0.0,"Blogging,Creative Writing,English Proficiency (Written),Hindi Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",20.0,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-adihri-dreamland-foundation1673585923
Fundraising Coordination,Ramkrishna Vedanta Ashram,"Work From Home,",Immediately,1 Week,Unpaid,27 Jan' 23,0.0,,"Certificate,Flexible work hours,5 days a week,",50.0,https://internshala.com/internship/detail/fundraising-coordination-work-from-home-job-internship-at-ramkrishna-vedanta-ashram1673580911
7-Day Virtual Charity Drive,Hamari Pahchan NGO,"Work From Home,",Immediately,1 Week,Unpaid,27 Jan' 23,311.0,,"Certificate,Letter of recommendation,",5000.0,https://internshala.com/internship/detail/7-day-virtual-charity-drive-work-from-home-job-internship-at-hamari-pahchan-ngo1673610800
Research (Economics),Filternet Foundation,"Varanasi,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,"Economics,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2.0,https://internshala.com/internship/detail/research-economics-part-time-job-internship-at-varanasi-in-filternet-foundation1673608658
Policy Research,My Story As A (Wo)Man,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),Report Writing,","Certificate,Letter of recommendation,Flexible work hours,",3.0,https://internshala.com/internship/detail/policy-research-work-from-home-job-internship-at-my-story-as-a-woman1673600553
Campus Ambassador,AltWorld,"Work From Home,",Immediately,2 Months,Performance Based,17 Feb' 23,244.0,"English Proficiency (Spoken),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",999.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-altworld1673598908
Android App Development - Janta Malik,Filternet Foundation,"Varanasi,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,"Java,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",1.0,https://internshala.com/internship/detail/android-app-development-janta-malik-part-time-job-internship-at-varanasi-in-filternet-foundation1673594011
Business Development (Sales),First Contact,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",4.0,https://internshala.com/internship/detail/business-development-sales-work-from-home-job-internship-at-first-contact1673586054
Human Resources (HR),Youth Empowerment Foundation,"Bangalore,",Immediately,2 Months,Unpaid,27 Jan' 23,29.0,,"Certificate,Letter of recommendation,",20.0,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-youth-empowerment-foundation1673596070
Volunteering,Youth Empowerment Foundation,"Bangalore,",Immediately,1 Month,Unpaid,27 Jan' 23,0.0,,"Certificate,Letter of recommendation,",20.0,https://internshala.com/internship/detail/volunteering-part-time-job-internship-at-bangalore-in-youth-empowerment-foundation1673596047
Social Work,Youth Empowerment Foundation,"Bangalore,",Immediately,1 Month,Unpaid,27 Jan' 23,0.0,,"Certificate,",80.0,https://internshala.com/internship/detail/social-work-part-time-job-internship-at-bangalore-in-youth-empowerment-foundation1673596030
Teaching,Youth Empowerment Foundation,"Bangalore,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,,"Certificate,",5.0,https://internshala.com/internship/detail/teaching-internship-in-bangalore-at-youth-empowerment-foundation1673596012
Internship Project- C20,Indian Social Responsibility Network,"Delhi,",Immediately,6 Months,Unpaid,27 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",5.0,https://internshala.com/internship/detail/internship-project-c20-internship-in-delhi-at-indian-social-responsibility-network1673515975
Volunteering,SRF Foundation,"Gurgaon,",Immediately,1 Month,Unpaid,27 Jan' 23,0.0,,"Certificate,Letter of recommendation,5 days a week,Free snacks & beverages,",40.0,https://internshala.com/internship/detail/volunteering-internship-in-gurgaon-at-srf-foundation1673590851
Campus Ambassador,ILogo.in,"Work From Home,",Immediately,3 Months,Performance Based,27 Jan' 23,0.0,"LinkedIn Marketing,Sales and Marketing,","Letter of recommendation,Flexible work hours,",5.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-ilogoin1673585343
Campus Ambassador,College Dunia,"Work From Home,",Immediately,6 Months,Performance Based,27 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Flexible work hours,",10.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-college-dunia1673544606
YouTube Marketing,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,41.0,"Content Marketing,Digital Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",25.0,https://internshala.com/internship/detail/youtube-marketing-work-from-home-job-internship-at-simmi-foundation-organization1673551315
Social Media Management,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,33.0,"Android,Blogging,Content Writing,Design Thinking,Digital Marketing,Search Engine Optimization (SEO),Video Editing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",4.0,https://internshala.com/internship/detail/social-media-management-work-from-home-job-internship-at-simmi-foundation-organization1673550994
Digital Marketing,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,61.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",10.0,https://internshala.com/internship/detail/digital-marketing-work-from-home-job-internship-at-simmi-foundation-organization1673549666
Human Resources (HR),Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,96.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",10.0,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-simmi-foundation-organization1673548838
Journalism,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,33.0,"Anchoring,English Proficiency (Written),Hindi Proficiency (Spoken),Video Editing,Video Making,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",25.0,https://internshala.com/internship/detail/journalism-work-from-home-job-internship-at-simmi-foundation-organization1673548264
Content Writing (Blog),Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,43.0,"Content Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",10.0,https://internshala.com/internship/detail/content-writing-blog-work-from-home-job-internship-at-simmi-foundation-organization1673548169
Content Development (Website),Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,"Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",3.0,https://internshala.com/internship/detail/content-development-website-work-from-home-job-internship-at-simmi-foundation-organization1673548115
Corporate Relationship Management,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),Research and Analytics,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",15.0,https://internshala.com/internship/detail/corporate-relationship-management-work-from-home-job-internship-at-simmi-foundation-organization1673548053
Social Work,Simmi Foundation Organization,"Work From Home,",Immediately,6 Weeks,Unpaid,27 Jan' 23,33.0,"English Proficiency (Spoken),Hindi Proficiency (Spoken),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",40.0,https://internshala.com/internship/detail/social-work-work-from-home-job-internship-at-simmi-foundation-organization1673547918
Teaching,Sarkari School,"Work From Home,",Immediately,2 Months,Unpaid,27 Jan' 23,135.0,"English Proficiency (Written),Hindi Proficiency (Spoken),Online Teaching,","Certificate,Letter of recommendation,Flexible work hours,",15.0,https://internshala.com/internship/detail/teaching-work-from-home-job-internship-at-sarkari-school1673540276
Business Development &amp; Management,Abhayudaan Foundation,"Ahmedabad,",Immediately,6 Months,Unpaid,27 Jan' 23,0.0,"Business Analysis,Business Research,Content Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",3.0,https://internshala.com/internship/detail/business-development-management-part-time-job-internship-at-ahmedabad-in-abhayudaan-foundation1673582846
Content Writing,Seva Charitable Trust,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,31.0,"Creative Writing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2.0,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-seva-charitable-trust1673517957
Graphic Design,Seva Charitable Trust,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,43.0,"Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,CorelDRAW,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2.0,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-seva-charitable-trust1673517864
Graphic Design,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,27 Jan' 23,62.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",4.0,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-simmi-foundation-organization1673552148
Law/Legal,Expertwings Professional Services,"Ranchi,",Immediately,2 Months,Unpaid,27 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,MS-Word,","Certificate,Letter of recommendation,Flexible work hours,Free snacks & beverages,",2.0,https://internshala.com/internship/detail/law-legal-internship-in-ranchi-at-expertwings-professional-services1673518465
Safety Champion,Safecity (Red Dot Foundation),"Work From Home,",Immediately,2 Weeks,Unpaid,27 Jan' 23,56.0,,"Certificate,Flexible work hours,",1000.0,https://internshala.com/internship/detail/safety-champion-work-from-home-job-internship-at-safecity-red-dot-foundation1673506288
Corporate Responsibility Analysis,Simmi Foundation Organization,"Work From Home,",Immediately,3 Months,Unpaid,26 Jan' 23,34.0,"Data Analytics,English Proficiency (Spoken),English Proficiency (Written),Research and Analytics,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",15.0,https://internshala.com/internship/detail/corporate-responsibility-analysis-work-from-home-job-internship-at-simmi-foundation-organization1673547971
Campus Ambassador,BeyondExams,"Dehradun, Delhi, Ghaziabad, Gurgaon, Kanpur, Lucknow, Sultanpur, Mumbai, Virar, Noida, Roorkee,",Immediately,3 Months,Performance Based,28 Jan' 23,262.0,"English Proficiency (Spoken),Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",100.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-beyondexams1673507713
Campus Ambassador,STAR VACAYS,"Work From Home,",Immediately,2 Months,Performance Based,26 Jan' 23,0.0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",8.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-star-vacays1673450880
Teaching,Youth Empowerment Foundation,"Hyderabad,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,,"Certificate,",5.0,https://internshala.com/internship/detail/teaching-internship-in-hyderabad-at-youth-empowerment-foundation1673513660
Teaching,Youth Empowerment Foundation,"Lucknow,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,,"Certificate,",5.0,https://internshala.com/internship/detail/teaching-internship-in-lucknow-at-youth-empowerment-foundation1673511405
Teaching,Youth Empowerment Foundation,"Chennai,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,,"Certificate,",5.0,https://internshala.com/internship/detail/teaching-internship-in-chennai-at-youth-empowerment-foundation1673511384
Teaching,Youth Empowerment Foundation,"Ranchi,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,,"Certificate,",5.0,https://internshala.com/internship/detail/teaching-internship-in-ranchi-at-youth-empowerment-foundation1673511347
Teaching,Youth Empowerment Foundation,"Pitampura,",Immediately,1 Month,Unpaid,26 Jan' 23,40.0,,"Certificate,",10.0,https://internshala.com/internship/detail/teaching-part-time-job-internship-at-pitampura-in-youth-empowerment-foundation1673507834
Campus Ambassador,You Got Brains,"Work From Home,",Immediately,1 Month,Performance Based,26 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-you-got-brains1673442680
Online Event Management,Shubham Nari Shakti Mahila Kalyan Samiti,"Work From Home,",Immediately,3 Months,Unpaid,26 Jan' 23,26.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",50.0,https://internshala.com/internship/detail/online-event-management-work-from-home-job-internship-at-shubham-nari-shakti-mahila-kalyan-samiti1673445149
Teaching (Soft Skills),Be Dauntless Foundation,"Work From Home,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,",1.0,https://internshala.com/internship/detail/teaching-soft-skills-work-from-home-job-internship-at-be-dauntless-foundation1673460018
Artificial Intelligence Based LMS System (CBSE English &amp; Other Subjects),Space Renaissance Indian Chapter,"Work From Home,",Immediately,1 Month,Unpaid,26 Jan' 23,45.0,"Blogging,Content Writing,Google Workspace,","Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/artificial-intelligence-based-lms-system-40cbse-english-other-subjects-41-work-from-home-job-internship-at-space-renaissance-indian-chapter1673427192
Graphic Design,Shubham Nari Shakti Mahila Kalyan Samiti,"Work From Home,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",50.0,https://internshala.com/internship/detail/graphic-design-work-from-home-job-internship-at-shubham-nari-shakti-mahila-kalyan-samiti1673444997
Social Media Marketing,Shubham Nari Shakti Mahila Kalyan Samiti,"Work From Home,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,",50.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-shubham-nari-shakti-mahila-kalyan-samiti1673444950
Social Media Marketing,Prudent Foundation,"Work From Home,",Immediately,3 Months,Unpaid,26 Jan' 23,0.0,"Creative Writing,Digital Marketing,Email Marketing,Facebook Marketing,Instagram Marketing,Social Media Marketing,","Certificate,Letter of recommendation,",4.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-prudent-foundation1673426564
Web Development,Dream Bharat Foundation,"Chennai, Erode, Namakkal, Dharmapuri, Tiruchirappalli, Salem,",Immediately,2 Months,Unpaid,25 Jan' 23,96.0,"CSS,HTML,JavaScript,MySQL,Node.js,PHP,ReactJS,WordPress,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer,",15.0,https://internshala.com/internship/detail/web-development-part-time-job-internship-at-multiple-locations-in-dream-bharat-foundation1673409566
Social Media Marketing,Suvidha Foundation,"Work From Home,",Immediately,2 Weeks,Unpaid,25 Jan' 23,652.0,,"Certificate,",10.0,https://internshala.com/internship/detail/social-media-marketing-work-from-home-job-internship-at-suvidha-foundation1673424293
Machine Learning,Suvidha Foundation,"Work From Home,",Immediately,1 Month,Unpaid,25 Jan' 23,0.0,,"Certificate,",10.0,https://internshala.com/internship/detail/machine-learning-work-from-home-job-internship-at-suvidha-foundation1673275648
English Tutoring,Ananda Sagara,"Work From Home,",Immediately,2 Months,Unpaid,25 Jan' 23,35.0,"English Proficiency (Spoken),English Proficiency (Written),MS-Office,Online Teaching,Teaching,","Certificate,Letter of recommendation,",20.0,https://internshala.com/internship/detail/english-tutoring-work-from-home-job-internship-at-ananda-sagara1673406231
Artificial Intelligence (AI),Translational Health Science And Technology Institute,"Faridabad,",Immediately,3 Months,Unpaid,25 Jan' 23,0.0,"Data Science,JavaScript,Python,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,",2.0,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-faridabad-at-translational-health-science-and-technology-institute1673419362
Campus Ambassador,"Technex'23, IIT (BHU) Varanasi","Work From Home,",Immediately,2 Months,Performance Based,28 Jan' 23,155.0,"Digital Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",800.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-technex23-iit-bhu-varanasi1673356738
Campus Ambassador,SDTech Robotics,"Work From Home,",Immediately,1 Month,Performance Based,25 Jan' 23,0.0,"Sales and Marketing,Social Media Marketing,","Certificate,Letter of recommendation,",30.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-sdtech-robotics1673418417
Campus Ambassador,Edvoy,"Delhi, Gurgaon, Greater Noida, Noida,",Immediately,6 Months,Performance Based,25 Jan' 23,0.0,"Digital Marketing,English Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,",8.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-edvoy1673351540
Content Analysis,TopTrove Foundation,"Work From Home,",Immediately,3 Months,Unpaid,25 Jan' 23,0.0,"Content Marketing,Content Writing,English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",6.0,https://internshala.com/internship/detail/content-analysis-work-from-home-job-internship-at-toptrove-foundation1673426860
Fundraising Coordination,Suvidha Foundation,"Work From Home,",Immediately,1 Month,Unpaid,25 Jan' 23,356.0,"English Proficiency (Spoken),","Certificate,Letter of recommendation,",25.0,https://internshala.com/internship/detail/fundraising-coordination-work-from-home-job-internship-at-suvidha-foundation1673424227
Team Leading,Kashmir Youth Web,"Work From Home,",Immediately,3 Months,Unpaid,25 Jan' 23,0.0,"English Proficiency (Written),Project Management,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",1.0,https://internshala.com/internship/detail/team-leading-work-from-home-job-internship-at-kashmir-youth-web1673423739
Content Writing,Udaghosh Social Welfare Society,"Work From Home,",Immediately,3 Months,Unpaid,25 Jan' 23,0.0,"Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",30.0,https://internshala.com/internship/detail/content-writing-work-from-home-job-internship-at-udaghosh-social-welfare-society1673375636
Tamizhan Siragugal Volunteering Program (TSVIP),Tamizhan Siragugal Trust,"Work From Home,",Immediately,6 Months,Unpaid,25 Jan' 23,108.0,"Canva,MS-Office,Social Media Marketing,Tamil Proficiency (Spoken),Tamil Proficiency (Written),","Certificate,Letter of recommendation,Flexible work hours,",25.0,https://internshala.com/internship/detail/tamizhan-siragugal-volunteering-program-tsvip-work-from-home-job-internship-at-tamizhan-siragugal-trust1673416519
Campus Ambassador,Rainvas,"Work From Home,",Immediately,1 Month,Performance Based,25 Jan' 23,0.0,"Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",10.0,https://internshala.com/internship/details/campus-ambassador-programme-at-rainvas1672926682
Research,Koru Foundation,"Work From Home,",Immediately,3 Months,Unpaid,25 Jan' 23,0.0,"Data Analytics,","Certificate,Letter of recommendation,Flexible work hours,",3.0,https://internshala.com/internship/detail/research-work-from-home-job-internship-at-koru-foundation1673413250
Fundraising,Sakshi,"Work From Home,",Immediately,1 Month,Unpaid,25 Jan' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-sakshi1673342927
Volunteering,Agaadh Foundation,"Work From Home,",Immediately,5 Months,Unpaid,25 Jan' 23,0.0,"Digital Marketing,Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",1.0,https://internshala.com/internship/detail/volunteering-work-from-home-job-internship-at-agaadh-foundation1673331608
